排名,升/降,学校名称,英文名称,省市,类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
122,-1,江苏师范大学,Jiangsu Normal University,江苏,师范,213.4,,,,,,,,,,
123,5,西安理工大学,Xi'an University of Technology,陕西,理工,213.2,,,,,,,,,,
124,-5,辽宁大学,Liaoning University,辽宁,综合,212.6,,,,,,,,,,
125,-7,北京建筑大学,Beijing University of Civil Engineering and Architecture,北京,理工,210.8,,,,,,,,,,
126,10,安徽师范大学,Anhui Normal University,安徽,师范,210.5,,,,,,,,,,
127,16,河南师范大学,Henan Normal University,河南,师范,210.4,,,,,,,,,,
128,-2,长沙理工大学,Changsha University of Science and Technology,湖南,理工,209.5,,,,,,,,,,
129,-2,昆明理工大学,Kunming University of Science and Technology,云南,理工,206.7,,,,,,,,,,
129,24,新疆大学,Xinjiang University,新疆,综合,206.7,,,,,,,,,,
131,-7,汕头大学,Shantou University,广东,综合,206.4,,,,,,,,,,
132,1,西南石油大学,Southwest Petroleum University,四川,理工,206,,,,,,,,,,
133,16,山东科技大学,Shandong University of Science and Technology,山东,综合,204.5,,,,,,,,,,
134,21,河南农业大学,Henan Agricultural University,河南,农业,204.3,,,,,,,,,,
135,-1,贵州大学,Guizhou University,贵州,综合,201.7,,,,,,,,,,
136,-14,华侨大学,Huaqiao University,福建,综合,201.4,,,,,,,,,,
137,-2,河北师范大学,Hebei Normal University,河北,师范,201.1,,,,,,,,,,
138,-8,黑龙江大学,Heilongjiang University,黑龙江,综合,201,,,,,,,,,,
138,0,中国计量大学,China Jiliang University,浙江,理工,201,,,,,,,,,,
140,21,陕西科技大学,Shaanxi University of Science and Technology,陕西,理工,198.6,,,,,,,,,,
141,42,沈阳农业大学,Shenyang Agricultural University,辽宁,农业,196.8,,,,,,,,,,
142,3,天津师范大学,Tianjin Normal University,天津,师范,196.5,,,,,,,,,,
143,-13,湖北工业大学,Hubei University of Technology,湖北,理工,196.3,,,,,,,,,,
144,4,海南大学,Hainan University,海南,综合,196.2,,,,,,,,,,
145,-6,济南大学,University of Jinan,山东,综合,195.4,,,,,,,,,,
146,20,山东农业大学,Shandong Agricultural University,山东,农业,194.7,,,,,,,,,,
147,-18,常州大学,Changzhou University,江苏,理工,194.6,,,,,,,,,,
147,-3,温州大学,Wenzhou University,浙江,综合,194.6,,,,,,,,,,
149,-12,重庆邮电大学,Chongqing University of Posts and Telecommunications,重庆,理工,193.7,,,,,,,,,,
150,31,齐鲁工业大学,Qilu University of Technology,山东,理工,192.6,,,,,,,,,,
151,13,曲阜师范大学,Qufu Normal University,山东,师范,189.8,,,,,,,,,,
152,-1,武汉工程大学,Wuhan Institute of Technology,湖北,理工,188.6,,,,,,,,,,
153,7,湖南农业大学,Hunan Agricultural University,湖南,农业,187.9,,,,,,,,,,
154,-4,天津工业大学,Tiangong University,天津,理工,187.4,,,,,,,,,,
155,14,安徽农业大学,Anhui Agricultural University,安徽,农业,187,,,,,,,,,,
156,-14,江苏科技大学,Jiangsu University of Science and Technology,江苏,理工,186.8,,,,,,,,,,
157,2,浙江农林大学,Zhejiang A&F University,浙江,林业,186,,,,,,,,,,
158,4,北方工业大学,North China University of Technology,北京,理工,185.7,,,,,,,,,,
159,-8,广西师范大学,Guangxi Normal University,广西,师范,184.7,,,,,,,,,,
160,26,吉林农业大学,Jilin Agricultural University,吉林,农业,184.4,,,,,,,,,,
161,11,青岛科技大学,Qingdao University of Science and Technology,山东,理工,183.8,,,,,,,,,,
162,-21,四川农业大学,Sichuan Agricultural University,四川,农业,183.3,,,,,,,,,,
162,1,西北师范大学,Northwest Normal University China,甘肃,师范,183.3,,,,,,,,,,
164,-18,南通大学,Nantong University,江苏,综合,183.1,,,,,,,,,,
165,-1,石河子大学,Shihezi University,新疆,综合,182.8,,,,,,,,,,
166,-12,上海海洋大学,Shanghai Ocean University,上海,农业,182.5,,,,,,,,,,
167,-10,三峡大学,China Three Gorges University,湖北,综合,179.8,,,,,,,,,,
168,2,安徽工业大学,Anhui University of Technology,安徽,理工,178.6,,,,,,,,,,
169,38,河南理工大学,Henan Polytechnic University,河南,理工,177.7,,,,,,,,,,
170,14,宁夏大学,Ningxia University,宁夏,综合,176.4,,,,,,,,,,
171,20,西安科技大学,Xi'an University of Science and Technology,陕西,理工,175,,,,,,,,,,
172,-25,上海海事大学,Shanghai Maritime University,上海,理工,174.6,,,,,,,,,,
173,-17,成都理工大学,Chengdu University of Technology,四川,理工,174.2,,,,,,,,,,
174,32,南昌航空大学,Nanchang Hangkong University,江西,理工,173.7,,,,,,,,,,
175,1,长春理工大学,Changchun University of Science and Technology,吉林,理工,172.7,,,,,,,,,,
176,-36,辽宁师范大学,Liaoning Normal University,辽宁,师范,172.5,,,,,,,,,,
177,25,西南科技大学,Southwest University of Science and Technology,四川,理工,172.1,,,,,,,,,,
178,-3,河北农业大学,Hebei Agricultural University,河北,农业,171.9,,,,,,,,,,
